iter	Passed	Remaining
0	0	900
1	1	855
2	2	831
3	5	1326
4	6	1266
5	7	1196
6	8	1154
7	8	1100
8	9	1062
9	10	1046
10	11	1019
11	11	982
12	12	952
13	13	936
14	13	914
15	14	896
16	15	885
17	16	876
18	16	872
19	17	872
20	19	928
21	20	922
22	21	918
23	22	910
24	23	898
25	23	887
26	24	880
27	25	875
28	25	866
29	26	865
30	27	864
31	28	854
32	28	845
33	29	840
34	30	836
35	31	832
36	31	824
37	32	818
38	32	812
39	33	807
40	34	803
41	35	799
42	35	792
43	36	789
44	36	783
45	37	778
46	38	775
47	39	775
48	40	782
49	41	783
50	41	779
51	42	774
52	43	771
53	43	768
54	44	767
55	45	763
56	46	761
57	46	757
58	47	755
59	48	752
60	50	784
61	51	781
62	52	778
63	53	784
64	54	780
65	54	776
66	55	774
67	56	771
68	57	769
69	57	765
70	58	762
71	58	760
72	59	757
73	60	754
74	60	750
75	61	748
76	62	746
77	62	744
78	63	741
79	64	746
80	65	747
81	66	745
82	66	739
83	67	738
84	68	737
85	69	737
86	70	735
87	70	734
88	71	731
89	72	728
90	72	726
91	73	725
92	74	725
93	75	724
94	75	722
95	76	720
96	77	717
97	77	715
98	78	713
99	78	710
100	79	710
101	80	709
102	81	708
103	82	707
104	82	706
105	83	704
106	84	703
107	84	701
108	85	700
109	86	698
110	86	696
111	87	694
112	88	692
113	88	690
114	89	689
115	90	687
116	90	684
117	91	683
118	92	681
119	92	680
120	93	679
121	94	677
122	94	676
123	96	682
124	97	684
125	98	684
126	99	682
127	100	682
128	101	683
129	101	681
130	102	680
131	103	678
132	103	677
133	104	675
134	105	673
135	105	671
136	106	669
137	106	667
138	107	665
139	107	663
140	108	661
141	109	658
142	109	657
143	110	659
144	111	659
145	112	659
146	114	663
147	115	662
148	115	660
149	116	660
150	117	661
151	118	660
152	118	658
153	119	656
154	120	655
155	120	653
156	121	652
157	122	651
158	122	649
159	123	648
160	123	645
161	124	644
162	125	644
163	126	644
164	127	643
165	127	642
166	128	641
167	129	639
168	129	637
169	130	635
170	130	634
171	131	634
172	132	632
173	133	633
174	134	632
175	134	631
176	135	631
177	136	629
178	137	628
179	137	626
180	138	625
181	138	623
182	139	622
183	140	621
184	141	621
185	141	620
186	142	619
187	143	619
188	144	618
189	144	617
190	145	616
191	146	616
192	147	615
193	148	615
194	148	613
195	149	613
196	150	612
197	150	610
198	151	609
199	152	608
200	152	607
201	153	605
202	154	604
203	154	603
204	155	601
205	156	602
206	157	601
207	157	600
208	158	599
209	159	598
210	159	597
211	160	596
212	161	595
213	161	594
214	162	593
215	163	592
216	163	591
217	164	589
218	164	588
219	165	587
220	166	585
221	166	584
222	167	583
223	168	582
224	168	581
225	169	580
226	170	579
227	171	580
228	172	579
229	173	579
230	173	578
231	174	576
232	174	575
233	175	575
234	176	573
235	176	572
236	177	572
237	178	570
238	178	569
239	179	568
240	180	568
241	181	567
242	181	565
243	182	564
244	182	563
245	183	562
246	184	561
247	184	560
248	185	559
249	186	559
250	187	559
251	188	558
252	188	557
253	189	556
254	190	555
255	190	554
256	191	553
257	192	552
258	193	553
259	194	552
260	195	552
261	195	551
262	196	550
263	197	549
264	197	548
265	198	547
266	198	546
267	199	545
268	200	544
269	200	542
270	202	543
271	202	542
272	203	542
273	204	541
274	205	541
275	206	540
276	207	540
277	207	539
278	208	538
279	209	538
280	210	537
281	210	536
282	211	535
283	213	537
284	213	536
285	214	535
286	215	534
287	215	533
288	216	533
289	217	533
290	218	532
291	219	531
292	219	530
293	220	529
294	221	528
295	222	528
296	222	527
297	223	526
298	224	526
299	225	525
300	225	523
301	226	522
302	226	521
303	227	520
304	228	519
305	228	519
306	229	518
307	230	517
308	230	516
309	231	515
310	233	516
311	234	517
312	235	516
313	236	516
314	237	515
315	237	514
316	238	513
317	239	513
318	239	512
319	240	511
320	241	511
321	242	510
322	243	509
323	243	508
324	244	507
325	244	506
326	245	505
327	246	504
328	246	503
329	248	503
330	248	503
331	249	502
332	250	501
333	251	500
334	251	499
335	252	498
336	253	497
337	253	496
338	254	495
339	254	494
340	255	493
341	256	493
342	256	492
343	257	491
344	258	490
345	258	489
346	259	489
347	260	488
348	261	486
349	261	485
350	262	485
351	263	484
352	264	484
353	265	483
354	266	483
355	266	482
356	267	482
357	268	481
358	269	480
359	269	479
360	270	478
361	271	478
362	272	477
363	272	476
364	273	476
365	274	475
366	274	474
367	275	473
368	276	472
369	276	471
370	277	471
371	279	471
372	279	470
373	280	469
374	281	468
375	281	467
376	282	466
377	283	466
378	284	465
379	284	464
380	285	464
381	286	463
382	286	462
383	287	461
384	288	460
385	288	459
386	289	458
387	290	457
388	290	456
389	291	455
390	292	454
391	293	454
392	295	455
393	295	455
394	296	454
395	297	453
396	297	452
397	298	451
398	299	450
399	299	449
400	300	448
401	301	447
402	301	446
403	302	445
404	302	444
405	303	443
406	304	442
407	304	442
408	305	441
409	305	440
410	306	439
411	307	438
412	308	437
413	309	437
414	310	436
415	310	436
416	311	435
417	311	434
418	312	433
419	313	432
420	314	432
421	315	431
422	316	431
423	316	430
424	317	429
425	318	428
426	318	427
427	319	426
428	319	425
429	320	424
430	321	424
431	321	423
432	322	422
433	323	421
434	324	421
435	325	420
436	326	420
437	326	419
438	327	418
439	327	417
440	328	416
441	329	415
442	329	414
443	330	413
444	330	412
445	331	411
446	332	411
447	332	410
448	333	409
449	334	408
450	335	407
451	335	406
452	336	406
453	337	405
454	337	404
455	338	403
456	339	403
457	340	402
458	341	401
459	341	401
460	342	400
461	343	399
462	343	398
463	344	397
464	344	396
465	345	396
466	346	395
467	347	394
468	347	393
469	348	392
470	349	392
471	349	391
472	350	390
473	351	389
474	351	388
475	352	387
476	353	387
477	354	387
478	355	387
479	356	386
480	357	385
481	358	384
482	358	384
483	359	383
484	360	382
485	360	381
486	361	380
487	362	379
488	362	379
489	363	378
490	364	377
491	364	376
492	365	375
493	365	374
494	366	374
495	367	373
496	367	372
497	368	371
498	369	371
499	370	370
500	371	369
501	371	369
502	372	368
503	373	367
504	373	366
505	374	365
506	375	365
507	375	364
508	376	363
509	377	362
510	377	361
511	378	360
512	379	360
513	379	359
514	380	358
515	381	357
516	381	356
517	382	356
518	383	355
519	384	355
520	385	354
521	386	354
522	387	353
523	388	352
524	388	351
525	389	351
526	390	350
527	390	349
528	391	348
529	392	347
530	392	347
531	393	346
532	394	345
533	394	344
534	395	343
535	396	342
536	396	342
537	397	341
538	398	340
539	398	339
540	400	339
541	401	338
542	401	338
543	402	337
544	403	336
545	404	336
546	404	335
547	405	334
548	406	333
549	407	333
550	408	332
551	409	332
552	410	331
553	410	330
554	411	329
555	412	329
556	412	328
557	413	327
558	414	326
559	415	326
560	416	326
561	417	325
562	418	324
563	419	323
564	419	323
565	420	322
566	420	321
567	421	320
568	422	319
569	422	318
570	423	318
571	424	317
572	424	316
573	425	315
574	426	315
575	426	314
576	427	313
577	428	312
578	429	311
579	429	311
580	431	310
581	431	310
582	432	309
583	433	308
584	434	308
585	434	307
586	435	306
587	435	305
588	436	304
589	437	303
590	438	303
591	438	302
592	439	301
593	440	300
594	441	300
595	441	299
596	442	298
597	443	297
598	443	297
599	444	296
600	445	295
601	446	295
602	446	294
603	447	293
604	448	292
605	448	291
606	449	291
607	450	290
608	450	289
609	451	288
610	452	288
611	453	287
612	453	286
613	454	285
614	455	285
615	456	284
616	456	283
617	457	282
618	457	281
619	458	281
620	459	280
621	460	279
622	461	279
623	462	278
624	462	277
625	463	276
626	464	276
627	464	275
628	465	274
629	465	273
630	466	272
631	467	272
632	467	271
633	468	270
634	469	269
635	469	268
636	470	268
637	471	267
638	471	266
639	472	265
640	472	264
641	473	263
642	474	263
643	474	262
644	476	262
645	477	261
646	477	260
647	478	259
648	479	259
649	479	258
650	480	257
651	481	256
652	481	255
653	482	255
654	483	254
655	484	253
656	484	253
657	485	252
658	486	251
659	487	250
660	487	250
661	488	249
662	489	248
663	489	247
664	490	247
665	491	246
666	492	245
667	492	245
668	493	244
669	494	243
670	494	242
671	495	241
672	496	241
673	496	240
674	497	239
675	498	238
676	499	238
677	499	237
678	500	236
679	501	235
680	501	235
681	502	234
682	503	233
683	503	232
684	504	231
685	504	231
686	505	230
687	506	229
688	507	229
689	508	228
690	508	227
691	509	226
692	510	225
693	510	225
694	511	224
695	512	223
696	512	222
697	513	222
698	513	221
699	514	220
700	515	219
701	516	219
702	516	218
703	517	217
704	517	216
705	518	215
706	519	215
707	519	214
708	520	213
709	521	212
710	522	212
711	523	211
712	524	210
713	524	210
714	525	209
715	526	208
716	526	207
717	527	207
718	528	206
719	528	205
720	529	204
721	530	204
722	530	203
723	531	202
724	532	201
725	533	201
726	534	200
727	534	199
728	535	199
729	537	198
730	538	198
731	539	197
732	540	196
733	540	195
734	541	195
735	542	194
736	542	193
737	543	192
738	544	192
739	544	191
740	545	190
741	545	189
742	546	189
743	547	188
744	547	187
745	548	186
746	548	185
747	549	185
748	550	184
749	550	183
750	551	182
751	552	182
752	553	181
753	554	180
754	555	180
755	555	179
756	556	178
757	557	177
758	558	177
759	558	176
760	559	175
761	560	174
762	560	174
763	561	173
764	562	172
765	562	171
766	563	171
767	564	170
768	564	169
769	565	168
770	566	168
771	567	167
772	568	167
773	569	166
774	570	165
775	571	164
776	571	164
777	572	163
778	573	162
779	573	161
780	574	161
781	574	160
782	575	159
783	576	158
784	577	158
785	577	157
786	578	156
787	579	155
788	579	155
789	580	154
790	581	153
791	581	152
792	582	152
793	584	151
794	584	150
795	585	150
796	586	149
797	586	148
798	587	147
799	588	147
800	588	146
801	589	145
802	590	144
803	590	144
804	591	143
805	591	142
806	592	141
807	593	140
808	593	140
809	594	139
810	594	138
811	595	137
812	596	137
813	596	136
814	598	135
815	599	135
816	600	134
817	601	133
818	602	133
819	603	132
820	603	131
821	604	130
822	605	130
823	606	129
824	607	128
825	608	128
826	608	127
827	609	126
828	610	125
829	610	125
830	611	124
831	612	123
832	613	123
833	614	122
834	615	121
835	616	120
